☀央视频道,#genre#
CCTV1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV3,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV6,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV7,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV8,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001276/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV9,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV10,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV11,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001327/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV12,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV13,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001328/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV14,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001292/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV15,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001020/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV16,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000002395/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV17,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001295/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001022/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV2,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001220/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV3,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001186/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV4,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001221/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV5,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001187/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV6,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001188/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV7,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001236/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV8,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001189/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV9,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001237/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV10,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001238/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV11,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001309/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV12,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001239/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV13,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001328/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV14,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001240/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV15,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001338/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV16,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001248/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV17,http://[2409:8087:1e03:21::34]:6610/cms001/ch00000090990000001241/index.m3u8?IASHttpSessionId=RR8275420230310002030000839
CCTV1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV3,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV4,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV5,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV7,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV8,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
